sample	reads.in	reads.out	denoisedF	denoisedR	merged	nonchim
SRR13482644	49760	47532	46763	46885	44225	43066
SRR13482645	68094	66312	65038	65202	58576	57762
SRR13482646	70148	68331	66802	67062	59241	57978
SRR13482647	73768	71882	70959	71022	67017	66566
SRR13482648	66493	64761	63778	63992	60054	57994
SRR13482649	49609	47214	46351	46490	43738	42805
SRR13482650	56408	52766	51782	52139	47688	46860
SRR13482651	35155	33701	32918	33194	30956	30202
SRR13482652	68725	66801	65652	65946	60375	59603
SRR13482653	67093	65499	64533	64709	60187	59517
SRR13482654	49344	46901	46001	46234	42911	41815
SRR13482655	71623	68342	67245	67460	64004	61929
SRR13482656	47308	45245	44332	44506	42279	40962
SRR13482657	37079	35479	34637	34738	33026	32250
SRR13482658	48184	45901	44920	45195	41865	40646
SRR13482659	54345	51706	50541	50938	47782	46385
SRR13482660	40233	38314	37563	37784	35838	34928
SRR13482661	51501	49190	48318	48562	45387	43700
SRR13482662	53461	50694	49661	49955	46459	45198
SRR13482663	59540	56921	55913	56273	52758	51114
SRR13482664	58392	55944	54938	55252	51891	50445
SRR13482665	57968	55535	54517	54897	51034	49552
SRR13482666	47777	45669	44704	44981	41729	39318
SRR13482667	49929	47624	46662	46987	43861	42426
SRR13482668	52174	50102	49036	49497	46396	45302
SRR13482669	46774	44647	43777	44093	41894	41115
SRR13482670	50967	48720	47853	48086	44724	43814
SRR13482671	60727	57756	56678	56974	52996	51358
SRR13482672	57873	55156	54250	54621	51460	50192
SRR13482673	63843	60969	59909	60232	56014	53623
SRR13482674	54794	52121	51174	51350	48295	47135
