run_accession	reads	Snodgrassella_alvi_frac	Bacillus_oleronius_frac	Cutibacterium_kroppenstedtii_frac	Bartonella_quintana_frac	Cutibacterium_acnes_frac	Staphylococcus_epidermidis_frac	mite_index
DRR574445	5352	0.000000	0.000934	0.001495	0.000000	0.438714	0.564836	0.002429
DRR574447	13116	0.000610	0.000915	0.006252	0.000000	0.710430	0.283776	0.007777
DRR574449	12784	0.000000	0.000469	0.039659	0.000000	0.510560	0.434528	0.040128
DRR574450	7704	0.000000	0.000000	0.002596	0.000000	0.981698	0.020898	0.002596
DRR574454	12015	0.000499	0.001581	0.001665	0.000000	0.989763	0.002164	0.003745
DRR574464	7790	0.000000	0.000257	0.000899	0.000000	0.991142	0.001797	0.001155
DRR574465	10614	0.000000	0.000283	0.000942	0.000000	0.992840	0.003863	0.001225
DRR574442	24509	0.000857	0.002611	0.011180	0.000000	0.854298	0.111714	0.014648
DRR574446	11990	0.000167	0.000167	0.023019	0.000000	0.656214	0.325605	0.023353
DRR574448	9726	0.000000	0.000308	0.023031	0.000000	0.692679	0.290150	0.023340
DRR574451	11356	0.001057	0.000088	0.006869	0.000000	0.980275	0.015939	0.008013
DRR574453	15978	0.000000	0.000063	0.001940	0.000000	0.959820	0.042246	0.002003
DRR574456	16686	0.000300	0.000959	0.004075	0.000000	0.980523	0.001858	0.005334
DRR574457	11065	0.000000	0.000452	0.003886	0.000000	0.991234	0.003886	0.004338
DRR574459	28667	0.002267	0.007639	0.022011	0.000000	0.890222	0.007465	0.031918
DRR574460	49824	0.000080	0.006182	0.006663	0.000421	0.947917	0.017301	0.013347
DRR574443	10435	0.000287	0.000575	0.001150	0.000000	0.722760	0.259799	0.002012
DRR574444	8660	0.002771	0.014781	0.012587	0.000346	0.451848	0.470670	0.030485
DRR574452	12870	0.000000	0.000078	0.000466	0.000000	0.972339	0.031935	0.000544
DRR574455	11382	0.000000	0.000527	0.004041	0.000000	0.992005	0.002987	0.004569
DRR574458	13106	0.000076	0.000534	0.002747	0.000000	0.962384	0.014573	0.003357
DRR574461	18472	0.009744	0.037408	0.050725	0.000054	0.805002	0.006496	0.097932
DRR574462	22217	0.000045	0.000135	0.004051	0.000000	0.997209	0.000090	0.004231
DRR574463	9140	0.000219	0.000438	0.004267	0.000000	0.982166	0.001641	0.004923
